Season,Matchday,Opponent,Minute,Player,Outcome,Distance,BodyPart,Notes,SCA1,SCA1Event,SCA2,SCA2Event
2019/20,2,Tottenham,11,İlkay Gündoğan,Blocked,24,Right Foot,,Kevin De Bruyne,Pass (Dead),İlkay Gündoğan,Pass (Live)
2019/20,2,Tottenham,20,Raheem Sterling,Goal,4,Head,,Kevin De Bruyne,Pass (Live),Bernardo Silva,Pass (Live)
2019/20,2,Tottenham,28,Aymeric Laporte,Wayward,12,Right Foot,Half volley,Rodri,Pass (Live),,
2019/20,2,Tottenham,34,Bernardo Silva,Blocked,21,Left Foot,,,,,
2019/20,2,Tottenham,35,Sergio Agüero,Goal,5,Right Foot,,Kevin De Bruyne,Pass (Live),Bernardo Silva,Pass (Live)
2019/20,2,Tottenham,36,Kevin De Bruyne,Off Target,14,Right Foot,,Kevin De Bruyne,Dribble,Bernardo Silva,Pass (Live)
2019/20,2,Tottenham,43,İlkay Gündoğan,Off Target,13,Right Foot,,Kevin De Bruyne,Pass (Live),Bernardo Silva,Pass (Live)
2019/20,2,Tottenham,44,Oleksandr Zinchenko,Saved,23,Left Foot,,Raheem Sterling,Pass (Live),Kyle Walker,Pass (Live)
2019/20,2,Tottenham,45+1,Sergio Agüero,Blocked,25,Right Foot,,İlkay Gündoğan,Pass (Live),Oleksandr Zinchenko,Pass (Live)
2019/20,2,Tottenham,48,Kevin De Bruyne,Blocked,21,Right Foot,,Kyle Walker,Pass (Live),Ederson,Pass (Live)
2019/20,2,Tottenham,49,Oleksandr Zinchenko,Saved,27,Left Foot,Deflected,İlkay Gündoğan,Pass (Live),Bernardo Silva,Pass (Dead)
2019/20,2,Tottenham,51,Kevin De Bruyne,Off Target,21,Left Foot,,Sergio Agüero,Pass (Live),Raheem Sterling,Pass (Live)
2019/20,2,Tottenham,53,Sergio Agüero,Off Target,15,Left Foot,,Raheem Sterling,Pass (Live),Oleksandr Zinchenko,Pass (Live)
2019/20,2,Tottenham,54,Bernardo Silva,Saved,12,Left Foot,,,,,
2019/20,2,Tottenham,60,Raheem Sterling,Blocked,16,Right Foot,,,,,
2019/20,2,Tottenham,60,Rodri,Saved,24,Right Foot,,İlkay Gündoğan,Pass (Live),Raheem Sterling,Shot
2019/20,2,Tottenham,61,Nicolás Otamendi,Saved,5,Head,,Kevin De Bruyne,Pass (Dead),Rodri,Shot
2019/20,2,Tottenham,61,Bernardo Silva,Woodwork,11,Left Foot,Lob,Nicolás Otamendi,Shot,,
2019/20,2,Tottenham,62,Bernardo Silva,Blocked,4,Head,,,,,
2019/20,2,Tottenham,62,Nicolás Otamendi,Blocked,11,Head,,Kevin De Bruyne,Pass (Dead),Bernardo Silva,Shot
2019/20,2,Tottenham,69,Gabriel Jesus,Blocked,13,Right Foot,,Gabriel Jesus,Dribble,Kevin De Bruyne,Pass (Live)
2019/20,2,Tottenham,69,Gabriel Jesus,Blocked,12,Right Foot,,Gabriel Jesus,Shot,,
2019/20,2,Tottenham,72,Gabriel Jesus,Off Target,6,Right Foot,Volley,Bernardo Silva,Pass (Live),Kevin De Bruyne,Pass (Live)
2019/20,2,Tottenham,79,Gabriel Jesus,Off Target,10,Head,,Kyle Walker,Pass (Live),Bernardo Silva,Pass (Live)
2019/20,2,Tottenham,80,Gabriel Jesus,Wayward,7,Head,,Kyle Walker,Pass (Live),Kevin De Bruyne,Pass (Live)
2019/20,2,Tottenham,90+6,Raheem Sterling,Blocked,15,Left Foot,,Kevin De Bruyne,Pass (Live),Oleksandr Zinchenko,Pass (Live)
2019/20,3,Bournemouth,7,Bernardo Silva,Blocked,15,Left Foot,,Raheem Sterling,Pass (Live),David Silva,Pass (Live)
2019/20,3,Bournemouth,8,Kyle Walker,Blocked,30,Right Foot,,Oleksandr Zinchenko,Pass (Live),Kevin De Bruyne,Pass (Dead)
2019/20,3,Bournemouth,8,Nicolás Otamendi,Blocked,6,Head,,İlkay Gündoğan,Pass (Live),Kevin De Bruyne,Pass (Dead)
2019/20,3,Bournemouth,15,Kevin De Bruyne,Wayward,15,Left Foot,,Oleksandr Zinchenko,Pass (Live),David Silva,Pass (Live)
2019/20,3,Bournemouth,15,Sergio Agüero,Goal,8,Left Foot,,Kevin De Bruyne,Shot,,
2019/20,3,Bournemouth,20,David Silva,Saved,12,Right Foot,Volley,,,,
2019/20,3,Bournemouth,24,Kevin De Bruyne,Blocked,25,Right Foot,,Sergio Agüero,Pass (Live),David Silva,Pass (Live)
2019/20,3,Bournemouth,29,Sergio Agüero,Blocked,18,Left Foot,,Aymeric Laporte,Pass (Live),İlkay Gündoğan,Pass (Live)
2019/20,3,Bournemouth,43,Raheem Sterling,Goal,8,Right Foot,Half volley,David Silva,Pass (Live),Bernardo Silva,Pass (Live)
2019/20,3,Bournemouth,45+6,Nicolás Otamendi,Off Target,7,Head,,Bernardo Silva,Pass (Live),Kevin De Bruyne,Pass (Dead)
2019/20,3,Bournemouth,51,David Silva,Saved,14,Left Foot,,Oleksandr Zinchenko,Pass (Live),İlkay Gündoğan,Pass (Live)
2019/20,3,Bournemouth,53,Kevin De Bruyne,Off Target,15,Right Foot,,Sergio Agüero,Pass (Live),Kevin De Bruyne,Pass (Live)
2019/20,3,Bournemouth,59,Bernardo Silva,Blocked,20,Left Foot,,Kevin De Bruyne,Pass (Live),Aymeric Laporte,Pass (Live)
2019/20,3,Bournemouth,64,Sergio Agüero,Goal,7,Right Foot,,David Silva,Dribble,Sergio Agüero,Dribble
2019/20,3,Bournemouth,68,Rodri,Blocked,12,Right Foot,Volley,Kyle Walker,Pass (Live),Bernardo Silva,Pass (Live)
2019/20,3,Bournemouth,82,Sergio Agüero,Blocked,17,Right Foot,,Riyad Mahrez,Pass (Live),Sergio Agüero,Pass (Live
2019/20,4,Brighton & Hove Albion,2,Kevin De Bruyne,Goal,9,Right Foot,,David Silva,Pass (Live),Oleksandr Zinchenko,Pass (Live)
2019/20,4,Brighton & Hove Albion,14,Sergio Agüero,Off Target,17,Right Foot,,Riyad Mahrez,Pass (Live),,
2019/20,4,Brighton & Hove Albion,17,Riyad Mahrez,Saved,18,Left Foot,,Riyad Mahrez,Dribble,Riyad Mahrez,Fouled
2019/20,4,Brighton & Hove Albion,20,Oleksandr Zinchenko,Blocked,21,Left Foot,,Riyad Mahrez,Pass (Dead),,
2019/20,4,Brighton & Hove Albion,21,Kevin De Bruyne,Off Target,25,Right Foot,,David Silva,Pass (Live),Oleksandr Zinchenko,Pass (Live)
2019/20,4,Brighton & Hove Albion,30,David Silva,Off Target,5,Left Foot,,Raheem Sterling,Pass (Live),Raheem Sterling,Dribble
2019/20,4,Brighton & Hove Albion,42,Sergio Agüero,Goal,11,Right Foot,,Kevin De Bruyne,Pass (Live),Riyad Mahrez,Pass (Live)
2019/20,4,Brighton & Hove Albion,44,Riyad Mahrez,Saved,12,Right Foot,,Sergio Agüero,Pass (Live),David Silva,Pass (Live)
2019/20,4,Brighton & Hove Albion,51,Kevin De Bruyne,Off Target,24,Left Foot,,Riyad Mahrez,Pass (Live),David Silva,Pass (Live)
2019/20,4,Brighton & Hove Albion,55,Sergio Agüero,Goal,18,Right Foot,,David Silva,Pass (Live),Oleksandr Zinchenko,Pass (Live)
2019/20,4,Brighton & Hove Albion,63,Sergio Agüero,Blocked,11,Right Foot,Half volley,Riyad Mahrez,Pass (Dead),,
2019/20,4,Brighton & Hove Albion,66,Kevin De Bruyne,Off Target,13,Right Foot,Volley,Riyad Mahrez,Pass (Live),Kyle Walker,Pass (Live)
2019/20,4,Brighton & Hove Albion,69,Sergio Agüero,Off Target,10,Left Foot,Volley,Kevin De Bruyne,Pass (Live),David Silva,Pass (Live)
2019/20,4,Brighton & Hove Albion,72,İlkay Gündoğan,Off Target,24,Right Foot,Free kick,Sergio Agüero,Fouled,David Silva,Pass (Live)
2019/20,4,Brighton & Hove Albion,79,Bernardo Silva,Goal,9,Left Foot,,Sergio Agüero,Pass (Live),Riyad Mahrez,Pass (Liv
2019/20,5,Norwich,3,Rodri,Saved,6,Head,,,,,
2019/20,5,Norwich,12,Raheem Sterling,Blocked,11,Right Foot,,Sergio Agüero,Pass (Live),John Stones,Pass (Live)
2019/20,5,Norwich,21,Raheem Sterling,Blocked,23,Right Foot,,,,,
2019/20,5,Norwich,28,Sergio Agüero,Off Target,4,Head,,Raheem Sterling,Pass (Live),Oleksandr Zinchenko,Pass (Live)
2019/20,5,Norwich,31,Raheem Sterling,Woodwork,7,Head,,,,,
2019/20,5,Norwich,31,David Silva,Off Target,22,Left Foot,Volley,,,,
2019/20,5,Norwich,45,Sergio Agüero,Goal,7,Head,,Bernardo Silva,Pass (Live),Oleksandr Zinchenko,Pass (Live)
2019/20,5,Norwich,51,Nicolás Otamendi,Off Target,10,Head,,İlkay Gündoğan,Pass (Dead),,
2019/20,5,Norwich,53,Sergio Agüero,Blocked,14,Left Foot,Half volley,Bernardo Silva,Pass (Live),,
2019/20,5,Norwich,55,Raheem Sterling,Blocked,9,Head,,,,,
2019/20,5,Norwich,58,Sergio Agüero,Blocked,11,Left Foot,,Sergio Agüero,Dribble,Rodri,Pass (Live)
2019/20,5,Norwich,59,Bernardo Silva,Blocked,23,Left Foot,,,,,
2019/20,5,Norwich,60,Bernardo Silva,Blocked,13,Right Foot,,,,,
2019/20,5,Norwich,68,Nicolás Otamendi,Saved,8,Head,,Kevin De Bruyne,Pass (Dead),Raheem Sterling,Pass (Live)
2019/20,5,Norwich,78,Sergio Agüero,Off Target,6,Head,,Raheem Sterling,Pass (Live),John Stones,Pass (Live)
2019/20,5,Norwich,82,Gabriel Jesus,Blocked,9,Head,,Riyad Mahrez,Pass (Live),Kyle Walker,Pass (Live)
2019/20,5,Norwich,84,Gabriel Jesus,Wayward,12,Right Foot,,Gabriel Jesus,Dribble,,
2019/20,5,Norwich,86,Raheem Sterling,Blocked,19,Right Foot,,John Stones,Pass (Live),Nicolás Otamendi,Pass (Live)
2019/20,5,Norwich,86,Gabriel Jesus,Saved off Target,8,Head,,Raheem Sterling,Shot,,
2019/20,5,Norwich,87,Nicolás Otamendi,Saved,5,Head,,Raheem Sterling,Pass (Live),Kyle Walker,Fouled
2019/20,5,Norwich,88,Oleksandr Zinchenko,Blocked,25,Left Foot,Half volley,,,,
2019/20,5,Norwich,88,Rodri,Goal,25,Right Foot,,Gabriel Jesus,Pass (Live),Gabriel Jesus,Dribble
2019/20,5,Norwich,90,Oleksandr Zinchenko,Blocked,22,Left Foot,,Kevin De Bruyne,Pass (Live),Gabriel Jesus,Pass (Live)
2019/20,5,Norwich,90+2,Sergio Agüero,Saved,18,Right Foot,,Sergio Agüero,Dribble,Sergio Agüero,Dribble
2019/20,5,Norwich,90+3,Gabriel Jesus,Saved,17,Left Foot,,Gabriel Jesus,Dribble,Raheem Sterling,Pass (Live)
2019/20,5,Norwich,90+4,Raheem Sterling,Saved,11,Right Foot,,Rodri,Pass (Live),Rodri,Dribble
2019/20,6,Watford,1,David Silva,Goal,4,Left Foot,"Open goal, Volley",Kevin De Bruyne,Pass (Live),Riyad Mahrez,Pass (Live)
2019/20,6,Watford,7,Sergio Agüero (pen),Goal,12,Right Foot,,Riyad Mahrez,Fouled,Kevin De Bruyne,Pass (Live)
2019/20,6,Watford,12,Riyad Mahrez,Goal,18,Left Foot,"Free kick, Deflected",Riyad Mahrez,Fouled,Riyad Mahrez,Dribble
2019/20,6,Watford,15,Nicolás Otamendi,Blocked,8,Head,,Kevin De Bruyne,Pass (Dead),,
2019/20,6,Watford,15,Bernardo Silva,Goal,5,Head,Diving header,Nicolás Otamendi,Shot,,
2019/20,6,Watford,18,Nicolás Otamendi,Goal,2,Right Foot,Open goal,Sergio Agüero,Pass (Live),David Silva,Pass (Dead)
2019/20,6,Watford,25,Sergio Agüero,Off Target,17,Right Foot,Lob,Kevin De Bruyne,Pass (Live),David Silva,Pass (Live)
2019/20,6,Watford,27,Sergio Agüero,Woodwork,10,Right Foot,,Kevin De Bruyne,Pass (Live),Riyad Mahrez,Pass (Live)
2019/20,6,Watford,28,Kevin De Bruyne,Off Target,17,Left Foot,,Riyad Mahrez,Pass (Live),,
2019/20,6,Watford,30,David Silva,Blocked,18,Left Foot,,Sergio Agüero,Pass (Live),Kyle Walker,Pass (Live)
2019/20,6,Watford,44,Sergio Agüero,Saved,5,Head,,Kevin De Bruyne,Pass (Live),Bernardo Silva,Pass (Live)
2019/20,6,Watford,44,Bernardo Silva,Off Target,9,Head,,Riyad Mahrez,Pass (Live),Rodri,Pass (Live)
2019/20,6,Watford,45+2,Riyad Mahrez,Saved,18,Left Foot,Deflected,,,,
2019/20,6,Watford,46,Kyle Walker,Off Target,35,Right Foot,,Rodri,Pass (Live),Sergio Agüero,Pass (Live)
2019/20,6,Watford,48,Sergio Agüero,Wayward,4,Right Foot,Volley,Bernardo Silva,Pass (Live),,
2019/20,6,Watford,48,Bernardo Silva,Goal,7,Left Foot,,Bernardo Silva,Dribble,David Silva,Pass (Live)
2019/20,6,Watford,54,Kevin De Bruyne,Off Target,29,Right Foot,Free kick,David Silva,Fouled,David Silva,Dribble
2019/20,6,Watford,57,Sergio Agüero,Off Target,8,Head,,Riyad Mahrez,Pass (Live),David Silva,Pass (Live)
2019/20,6,Watford,58,Sergio Agüero,Off Target,6,Right Foot,Half volley,Angeliño,Pass (Live),David Silva,Pass (Live)
2019/20,6,Watford,60,Bernardo Silva,Goal,3,Left Foot,,Kevin De Bruyne,Pass (Live),Riyad Mahrez,Pass (Live)
2019/20,6,Watford,62,David Silva,Off Target,15,Left Foot,,Bernardo Silva,Pass (Live),Angeliño,Pass (Live)
2019/20,6,Watford,66,Riyad Mahrez,Woodwork,9,Head,,Angeliño,Pass (Live),David Silva,Pass (Live)
2019/20,6,Watford,77,Rodri,Off Target,26,Left Foot,,,,,
2019/20,6,Watford,81,Rodri,Saved,24,Right Foot,,Bernardo Silva,Pass (Live),Kevin De Bruyne,Pass (Dead)
2019/20,6,Watford,85,Kevin De Bruyne,Goal,20,Right Foot,,Riyad Mahrez,Pass (Live),Sergio Agüero,Pass (Live)
2019/20,6,Watford,88,Kevin De Bruyne,Off Target,14,Right Foot,,Kevin De Bruyne,Dribble,Kevin De Bruyne,Dribble
2019/20,6,Watford,90+2,Riyad Mahrez,Blocked,22,Left Foot,,David Silva,Pass (Live),Riyad Mahrez,Pass (Live)
2019/20,6,Watford,90+3,Bernardo Silva,Saved,19,Left Foot,,Kevin De Bruyne,Pass (Live),João Cancelo,Pass (Live)
2019/20,7,Everton,1,Riyad Mahrez,Saved,28,Left Foot,,Riyad Mahrez,Dribble,Nicolás Otamendi,Pass (Live)
2019/20,7,Everton,12,İlkay Gündoğan,Woodwork,4,Left Foot,Open goal,Riyad Mahrez,Pass (Live),,
2019/20,7,Everton,12,Riyad Mahrez,Saved,7,Right Foot,,Kevin De Bruyne,Pass (Live),Nicolás Otamendi,Pass (Live)
2019/20,7,Everton,24,Gabriel Jesus,Goal,6,Head,Diving header,Kevin De Bruyne,Pass (Live),Riyad Mahrez,Pass (Live)
2019/20,7,Everton,29,Riyad Mahrez,Saved,14,Right Foot,,Raheem Sterling,Pass (Live),Kevin De Bruyne,Pass (Live)
2019/20,7,Everton,33,Riyad Mahrez,Saved,18,Left Foot,,Raheem Sterling,Pass (Live),Riyad Mahrez,Pass (Live)
2019/20,7,Everton,36,Gabriel Jesus,Off Target,8,Head,,Oleksandr Zinchenko,Pass (Live),İlkay Gündoğan,Pass (Live)
2019/20,7,Everton,38,Kevin De Bruyne,Blocked,24,Right Foot,,Rodri,Pass (Live),,
2019/20,7,Everton,44,Gabriel Jesus,Off Target,15,Left Foot,,Riyad Mahrez,Pass (Live),Riyad Mahrez,Dribble
2019/20,7,Everton,45+3,Gabriel Jesus,Blocked,7,Head,,Raheem Sterling,Pass (Live),Kevin De Bruyne,Pass (Live)
2019/20,7,Everton,45+4,İlkay Gündoğan,Saved,22,Right Foot,,Rodri,Pass (Live),Kyle Walker,Pass (Live)
2019/20,7,Everton,47,İlkay Gündoğan,Blocked,10,Right Foot,,Raheem Sterling,Pass (Live),Kevin De Bruyne,Pass (Live)
2019/20,7,Everton,49,Kevin De Bruyne,Off Target,8,Right Foot,,Kevin De Bruyne,Dribble,Riyad Mahrez,Pass (Live)
2019/20,7,Everton,60,Raheem Sterling,Off Target,11,Right Foot,,Riyad Mahrez,Pass (Live),,
2019/20,7,Everton,69,Raheem Sterling,Blocked,17,Right Foot,,,,,
2019/20,7,Everton,69,Raheem Sterling,Saved,9,Other,,Kyle Walker,Pass (Live),Kevin De Bruyne,Pass (Live)
2019/20,7,Everton,71,Riyad Mahrez,Goal,27,Left Foot,Free kick,Kevin De Bruyne,Fouled,Kyle Walker,Pass (Live)
2019/20,7,Everton,74,Sergio Agüero,Off Target,25,Right Foot,,Sergio Agüero,Dribble,Fernandinho,Pass (Live)
2019/20,7,Everton,84,Sergio Agüero,Saved,9,Right Foot,,Riyad Mahrez,Dribble,Sergio Agüero,Pass (Live)
2019/20,7,Everton,84,Raheem Sterling,Goal,6,Left Foot,Volley,Sergio Agüero,Shot,,
2019/20,8,Wolves,9,Riyad Mahrez,Saved,26,Left Foot,,Kyle Walker,Pass (Live),John Stones,Pass (Live)
2019/20,8,Wolves,15,David Silva,Off Target,20,Left Foot,,Riyad Mahrez,Pass (Live),David Silva,Pass (Live)
2019/20,8,Wolves,19,Riyad Mahrez,Blocked,16,Right Foot,,Kevin De Bruyne,Pass (Live),Gabriel Jesus,Pass (Live)
2019/20,8,Wolves,21,Riyad Mahrez,Off Target,11,Left Foot,,Riyad Mahrez,Dribble,Kevin De Bruyne,Pass (Live)
2019/20,8,Wolves,25,Gabriel Jesus,Goal,5,Left Foot,Half volley,Kyle Walker,Pass (Live),Riyad Mahrez,Pass (Live)
2019/20,8,Wolves,28,David Silva,Off Target,8,Left Foot,Volley,Kevin De Bruyne,Pass (Live),Kyle Walker,Pass (Live)
2019/20,8,Wolves,38,Kevin De Bruyne,Saved,18,Right Foot,,David Silva,Pass (Live),Kevin De Bruyne,Pass (Live)
2019/20,8,Wolves,45+1,Gabriel Jesus,Saved,19,Right Foot,Half volley,,,,
2019/20,8,Wolves,50,Raheem Sterling,Saved,11,Head,,Oleksandr Zinchenko,Pass (Live),David Silva,Pass (Live)
2019/20,8,Wolves,51,Raheem Sterling,Goal,13,Left Foot,,Kevin De Bruyne,Pass (Live),Riyad Mahrez,Pass (Live)
2019/20,8,Wolves,57,Oleksandr Zinchenko,Off Target,23,Left Foot,,David Silva,Pass (Live),Kevin De Bruyne,Pass (Live)
2019/20,8,Wolves,75,Raheem Sterling,Goal,8,Right Foot,Lob,Riyad Mahrez,Pass (Live),Raheem Sterling,Pass (Live)
2019/20,8,Wolves,86,Sergio Agüero (pen),Goal,12,Right Foot,,Riyad Mahrez,Fouled,,
2019/20,8,Wolves,90+2,Raheem Sterling,Goal,13,Right Foot,,Riyad Mahrez,Pass (Live),,
2019/20,9,Crystal Palace,5,Gabriel Jesus,Off Target,6,Head,,Kevin De Bruyne,Pass (Live),Bernardo Silva,Pass (Live)
2019/20,9,Crystal Palace,7,David Silva,Saved,19,Left Foot,,Bernardo Silva,Pass (Live),,
2019/20,9,Crystal Palace,8,Gabriel Jesus,Blocked,6,Head,,João Cancelo,Pass (Live),David Silva,Pass (Live)
2019/20,9,Crystal Palace,16,Bernardo Silva,Saved,20,Left Foot,,Rodri,Pass (Live),,
2019/20,9,Crystal Palace,16,Gabriel Jesus,Off Target,2,Head,,Bernardo Silva,Shot,,
2019/20,9,Crystal Palace,21,İlkay Gündoğan,Saved,27,Right Foot,Deflected,Raheem Sterling,Pass (Live),Fernandinho,Pass (Live)
2019/20,9,Crystal Palace,26,João Cancelo,Saved,28,Right Foot,,Bernardo Silva,Pass (Live),İlkay Gündoğan,Pass (Live)
2019/20,9,Crystal Palace,34,Gabriel Jesus,Wayward,16,Head,,İlkay Gündoğan,Pass (Live),Raheem Sterling,Pass (Live)
2019/20,9,Crystal Palace,39,Gabriel Jesus,Goal,8,Head,Diving header,Bernardo Silva,Pass (Live),Fernandinho,Pass (Live)
2019/20,9,Crystal Palace,41,David Silva,Goal,10,Left Foot,Volley,Raheem Sterling,Pass (Live),Benjamin Mendy,Pass (Live)
2019/20,9,Crystal Palace,52,Raheem Sterling,Off Target,17,Right Foot,,Gabriel Jesus,Pass (Live),Gabriel Jesus,Dribble
2019/20,9,Crystal Palace,54,İlkay Gündoğan,Blocked,27,Right Foot,,Kevin De Bruyne,Pass (Live),,
2019/20,9,Crystal Palace,55,Raheem Sterling,Off Target,15,Left Foot,,Raheem Sterling,Dribble,David Silva,Pass (Live)
2019/20,9,Crystal Palace,68,Gabriel Jesus,Saved,15,Left Foot,,João Cancelo,Pass (Live),Gabriel Jesus,Pass (Live)
2019/20,9,Crystal Palace,72,Gabriel Jesus,Wayward,7,Head,,Raheem Sterling,Pass (Live),Kevin De Bruyne,Pass (Live)
2019/20,9,Crystal Palace,73,Bernardo Silva,Saved,14,Right Foot,,Gabriel Jesus,Shot,,
2019/20,9,Crystal Palace,76,Gabriel Jesus,Saved,8,Right Foot,,Gabriel Jesus,Dribble,Raheem Sterling,Pass (Live)
2019/20,9,Crystal Palace,79,Raheem Sterling,Wayward,9,Left Foot,,David Silva,Pass (Live),Kevin De Bruyne,Pass (Live)
2019/20,9,Crystal Palace,81,Kevin De Bruyne,Woodwork,5,Head,,İlkay Gündoğan,Pass (Live),İlkay Gündoğan,Dribble
2019/20,9,Crystal Palace,85,João Cancelo,Blocked,17,Left Foot,,João Cancelo,Dribble,İlkay Gündoğan,Pass (Live)
2019/20,9,Crystal Palace,87,Raheem Sterling,Off Target,10,Right Foot,,João Cancelo,Pass (Live),Bernardo Silva,Pass (Live
2019/20,10,Aston Villa,5,İlkay Gündoğan,Blocked,18,Right Foot,,David Silva,Pass (Live),David Silva,Dribble
2019/20,10,Aston Villa,5,Gabriel Jesus,Off Target,8,Right Foot,,İlkay Gündoğan,Shot,,
2019/20,10,Aston Villa,7,Fernandinho,Off Target,8,Head,,Kevin De Bruyne,Pass (Dead),,
2019/20,10,Aston Villa,10,Kevin De Bruyne,Off Target,30,Right Foot,,,,,
2019/20,10,Aston Villa,13,Raheem Sterling,Blocked,18,Right Foot,,Kevin De Bruyne,Pass (Live),Bernardo Silva,Pass (Live)
2019/20,10,Aston Villa,19,Raheem Sterling,Blocked,12,Right Foot,,İlkay Gündoğan,Pass (Live),João Cancelo,Pass (Live)
2019/20,10,Aston Villa,20,Benjamin Mendy,Blocked,23,Left Foot,,Bernardo Silva,Pass (Live),Bernardo Silva,Dribble
2019/20,10,Aston Villa,21,João Cancelo,Saved,28,Left Foot,,Bernardo Silva,Pass (Live),Fernandinho,Pass (Live)
2019/20,10,Aston Villa,25,John Stones,Saved,6,Head,,Kevin De Bruyne,Pass (Dead),Raheem Sterling,Pass (Live)
2019/20,10,Aston Villa,38,Raheem Sterling,Off Target,9,Head,,İlkay Gündoğan,Pass (Live),Benjamin Mendy,Pass (Live)
2019/20,10,Aston Villa,43,David Silva,Off Target,10,Left Foot,,Raheem Sterling,Pass (Live),İlkay Gündoğan,Pass (Live)
